Species,Order,Suborder,Family,Genus,Description author/s,Description year,Subspecies ,Main biogeographic region,Microhabitat,Habitat type,Minimal elevation (m),Maximum elevation (m),Mean Annual Temperature (°C),Temperature Seasonality (standard deviation*100),Seasonality Precipitation (coefficient of variation × 100),Insular/endemic (yes or no),Venomous (yes or no),Diet ,Diet: comments,Active time,Dorsal colour,Dorsal pattern,Foraging mode,Pupil Shape,Fangs,Maximum Longevity (years),Maximum body mass (g),"Maximum total length (""TL"", mm)","Maximum length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum female length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum male length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum juvenile length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)",Hatchling/neonate mass (g),Reproductive mode,Sex-determining mechanism (GSD or TSD),Mean number of offspring per litter or number of eggs per clutch,Smallest clutch size,Largest clutch size,Number of litters or clutches produced per year,Egg length (mm),Egg width (mm),Mean Tb,Minimum Tb,Maximum Tb,Genetic data (yes or not),IUCN redlist assessment,IUCN population trend
Iberolacerta cyreni,Squamata,Sauria,Lacertidae,Iberolacerta,Müller & Hellmich,1937,"Iberolacerta cyreni castilliana (ARRIBAS 1996)
Iberolacerta cyreni cyreni (MÜLLER & HELLMICH 1937)",Palearctic,Terrestrial,Forest/Grassland/Rocky/Shrubland,1200,2600,10.44,6583.60,19.72,No,No,Carnivorous,Arthropods,Diurnal,NA,NA,ACT,NA,non-fanged,NA,17.4,NA,91,73.9,NA,26.5,NA,oviparous,GSD (ZW/ZZ),6.3,2,9,NA,NA,NA,28.3,NA,NA,Yes,Endangered,Decreasing
Iberolacerta galani,Squamata,Sauria,Lacertidae,Iberolacerta,"Arribas, Carranza & Odierna",2006,No,Palearctic,Saxicolous,Rocky,1000,2500,NA,NA,16.93,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,14.1,NA,85,64.6,NA,NA,NA,oviparous,GSD (ZW/ZZ),4.5,4,5,NA,NA,NA,30.2,NA,NA,Yes,Near Threatened,Unknown
Iberolacerta horvathi,Squamata,Sauria,Lacertidae,Iberolacerta,Méhely,1904,No,Palearctic,Saxicolous,Forest/Rocky/Shrubland,250,2000,8.41,6915.60,16.19,No,No,Carnivorous,"Arthropods (CortiAnd Cascio 2002), mainlyArachnids (Capizzi 1999), invertebrates (Speybroeck etAl. 2016)",Diurnal,NA,NA,ACT,NA,non-fanged,NA,6.5,NA,65,56.5,NA,24.8,NA,oviparous,GSD (ZW/ZZ),3.5,1,10,NA,NA,NA,31.6,NA,NA,Yes,Near Threatened,Stable
Iberolacerta martinezricai,Squamata,Sauria,Lacertidae,Iberolacerta,Arribas,1996,No,Palearctic,Saxicolous,Forest/Rocky,800,1730,12.27,6126.90,20.45,No,No,Carnivorous,Arthropods (Arribas 2009),Diurnal,NA,NA,NA,NA,non-fanged,8.0,7.8,NA,69.3,60.4,NA,24.8,NA,oviparous,NA,4.0,4,4,NA,NA,NA,33.3,NA,NA,No,Critically Endangered,Decreasing
Iberolacerta monticola,Squamata,Sauria,Lacertidae,Iberolacerta,Boulenger,1905,"Iberolacerta monticola astur ARRIBAS & GALÁN 2014
Iberolacerta monticola monticola (BOULENGER 1905)",Palearctic,Saxicolous/Terrestrial,Forest/Rocky/Shrubland/Wetlands,0,2000,10.18,4736.90,15.04,No,No,Carnivorous,"Arthropods (Salvador 1984, Valakos 1986)",Diurnal,NA,NA,ACT,NA,non-fanged,15.0,13.8,NA,84.6,66.3,NA,24.1,NA,oviparous,GSD (ZW/ZZ),6.3,2,10,1.5,NA,NA,31.5,NA,NA,Yes,Vulnerable,Decreasing
Ichnotropis bivittata,Squamata,Sauria,Lacertidae,Ichnotropis,Bocage,1866,"Ichnotropis bivittata bivittata BOCAGE 1866
Ichnotropis bivittata pallida LAURENT 1964",Afrotropic,Terrestrial,Forest/Savanna,600,1900,NA,NA,13.42,No,No,Carnivorous,"Insects (e.g., Branch 2014)",Diurnal,NA,NA,ACT,NA,non-fanged,NA,11.0,NA,78,67.3,NA,NA,NA,oviparous,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Ichnotropis capensis,Squamata,Sauria,Lacertidae,Ichnotropis,Smith,1838,"Ichnotropis capensis capensis (A. SMITH 1838)
Ichnotropis capensis nigrescens LAURENT 1952",Afrotropic,Terrestrial,Savanna,80,1150,21.22,2606.30,22.22,No,No,Carnivorous,Arthropods,Diurnal,NA,NA,ACT,NA,non-fanged,NA,7.2,NA,68,53.9,NA,20,NA,oviparous,NA,6.1,3,12,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Ichnotropis chapini,Squamata,Sauria,Lacertidae,Ichnotropis,Schmidt,1919,No,Afrotropic,NA,Savanna,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,4.6,NA,58,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Endangered,Unknown
Ichnotropis grandiceps,Squamata,Sauria,Lacertidae,Ichnotropis,Broadley,1967,No,Afrotropic,Terrestrial,Savanna,NA,NA,NA,NA,23.10,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,7.9,NA,70,NA,NA,NA,NA,oviparous,NA,7.5,3,12,NA,NA,NA,NA,NA,NA,No,Least Concern,Unknown
Ichnotropis microlepidota,Squamata,Sauria,Lacertidae,Ichnotropis,Marx,1956,No,Afrotropic,NA,Grassland,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,3.3,NA,52,50.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Ichnotropis tanganicana,Squamata,Sauria,Lacertidae,Ichnotropis,Boulenger,1917,No,Afrotropic,NA,Savanna,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Iguana delicatissima,Squamata,Sauria,Iguanidae,Iguana,Laurenti,1768,No,Neotropic,Arboreal/Terrestrial,Forest/Grassland/Shrubland,0,400,25.19,971.90,24.40,Yes,No,Herbivorous,"Herbivorous (almost exclusively,AllAges, Powell etAl. 2005,Also eat other stuff like eggsAnd carrion, youngsAlso eat insectsAnd ""other smallAnimals"") / Omnivorous (Bird eggs, fruitAnd carrion, Lazell 1973)",Diurnal,NA,NA,NA,NA,non-fanged,20.0,3467.4,NA,434,353,NA,75,NA,oviparous,NA,17.0,4,30,1.5,NA,NA,38.0,NA,NA,Yes,Critically Endangered,Decreasing
Iguana iguana,Squamata,Sauria,Iguanidae,Iguana,Linnaeus,1758,"Iguana iguana iguana (LINNAEUS 1758)
Iguana iguana insularis BREUIL, VUILLAUME, SCHIKORSKI,  KRAUSS, MORTON,  HAYNES, DALTRY, CORRY, GAYMES,  GAYMES, BECH, JELIĆ & GRANDJEAN 2019
Iguana iguana melanoderma BREUIL, SCHIKORSKI, VUILLAUME, KRAUSS, MORTON, CORRY, BECH, JELIĆ & GRANDJEAN 2020
Iguana iguana sanctaluciae BREUIL, VUILLAUME, SCHIKORSKI,  KRAUSS, MORTON,  HAYNES, DALTRY, CORRY, GAYMES,  GAYMES, BECH, JELIĆ & GRANDJEAN 2019",Neotropic,Arboreal,Forest,0,1300,24.03,893.70,17.13,No,No,Herbivorous,"Herbivorous, juveniles eat insects (Campbell, StaffordAnd Meyer 2000), Omnivorous (ConantAnd Collins 1998),AdultsAlmost exclusively Herbivorous, young mostly Herbivorous (Savage 2002, Powell etAl. 2005Also eat eggsAnd carrion),All Herbivorous (Van Devender 1982)",Diurnal,NA,NA,NA,NA,non-fanged,28.0,8128.3,NA,580,318.4,NA,77.5,11.5,oviparous,GSD (XX/XY),28.8,9,71,1.0,NA,NA,34.6,NA,NA,Yes,Least Concern,Unknown
Iguanognathus werneri,Squamata,Serpentes,Colubridae,Iguanognathus,Boulenger,1898,No,Oriental,Semi-Aquatic,NA,NA,NA,NA,NA,0.2,Yes,NA,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,8.9,350,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,NA
Imantodes cenchoa,Squamata,Serpentes,Colubridae,Imantodes,Linnaeus,1758,No,Neotropic,Arboreal,Forest/Savanna,0,2000,23.8,109.8,0.4,No,NA,Carnivorous,"Amphibians, reptiles ",Nocturnal,Black/Brown,Banded/blotched,NA,slit (or vertical elliptical),rear-fanged,NA,515.8,1554,685,NA,NA,NA,NA,oviparous,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Imantodes chocoensis,Squamata,Serpentes,Colubridae,Imantodes,"Torres-Carvajal, Yánez-Muñoz, Quirola, Smith & Almendáriz",2012,No,Neotropic,Arboreal,Forest,20,260,NA,NA,0.3,No,NA,Carnivorous,"Amphibians, reptiles ",Nocturnal,Black/Brown,Banded/blotched,NA,NA,rear-fanged,NA,202.6,1075,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Unknown
Imantodes gemmistratus,Squamata,Serpentes,Colubridae,Imantodes,Cope,1861,"Imantodes gemmistratus gemmistratus (COPE 1861)
Imantodes gemmistratus gracillimus (GÜNTHER 1895)
Imantodes gemmistratus latistratus (COPE 1887)
Imantodes gemmistratus luciodorsus OLIVER 1942
Imantodes gemmistratus oliveri SMITH 1942
Imantodes gemmistratus splendidus (GÜNTHER 1895)",Neotropic,Arboreal,Forest,0,1500,NA,NA,0.4,No,NA,Carnivorous,"Amphibians, reptiles ",Nocturnal,Black/Brown,Banded/blotched,NA,slit (or vertical elliptical),rear-fanged,NA,122.0,880,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Imantodes guane,Squamata,Serpentes,Colubridae,Imantodes,Missassi & Prudente,2015,No,Neotropic,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,rear-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Imantodes inornatus,Squamata,Serpentes,Colubridae,Imantodes,Boulenger,1896,No,Neotropic,Arboreal,Forest/Wetlands,0,1600,NA,NA,0.3,No,NA,Carnivorous,"Amphibians, reptiles, frog eggs/larva ",Nocturnal,Black/Brown,Banded/blotched,NA,slit (or vertical elliptical),rear-fanged,NA,184.0,1035,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Imantodes lentiferus,Squamata,Serpentes,Colubridae,Imantodes,Cope,1894,No,Neotropic,Arboreal,Forest,115,1030,NA,NA,0.3,No,NA,Carnivorous,"Amphibians, reptiles ",Nocturnal,Black/Brown,Banded/blotched,NA,slit (or vertical elliptical),rear-fanged,NA,267.8,1200,643.8,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Imantodes phantasma,Squamata,Serpentes,Colubridae,Imantodes,Myers,1982,No,Neotropic,Arboreal,Forest,1000,1100,NA,NA,0.2,No,NA,Carnivorous,"Amphibians, reptiles ",Nocturnal,Black/Brown,Banded/blotched,NA,slit (or vertical elliptical),rear-fanged,NA,206.0,1082,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Imantodes tenuissimus,Squamata,Serpentes,Colubridae,Imantodes,Cope,1867,No,Neotropic,Arboreal,Forest,NA,NA,NA,NA,0.4,No,NA,Carnivorous,"Amphibians, reptiles ",Nocturnal,Black/Brown,Banded/blotched,NA,slit (or vertical elliptical),rear-fanged,NA,58.8,1260,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Incaspis amaru,Squamata,Serpentes,Colubridae,Incaspis,"Zaher, Arredondo, Valencia, Arbeláez, Rodrigues & Altamirano-Benavides",2014,No,Neotropic,Arboreal/Terrestrial,Grassland/Shrubland/Wetlands,NA,NA,NA,NA,0.1,No,NA,Carnivorous,"Amphibians, reptiles ",Diurnal,Black/Brown,Striped,NA,NA,NA,NA,133.9,913,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Incaspis simonsii,Squamata,Serpentes,Colubridae,Incaspis,Boulenger,1900,No,Neotropic,Arboreal,Desert/Rocky/Shrubland,NA,NA,NA,NA,0.4,No,NA,Carnivorous,NA,Diurnal,Black/Brown,Striped,NA,NA,NA,NA,125.9,891,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Unknown
Incaspis tachymenoides,Squamata,Serpentes,Colubridae,Incaspis,Schmidt & Walker,1943,No,Neotropic,Arboreal,Shrubland,NA,NA,NA,NA,0.5,No,NA,Carnivorous,NA,Diurnal,Black/Brown,Striped,NA,NA,NA,NA,193.2,1055,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,Yes,Least Concern,Unknown
Indotestudo elongata,Testudines,Testudines,Testudinidae,Indotestudo,Blyth,1854,No,Oriental,Terrestrial,Forest/Shrubland,NA,500,24.20,294.88,NA,No,No,Omnivorous,"Invertebrates, plants",Nocturnal,Yellow,Uniform,ACT,round (or oval),non-fanged,14.10,8209.0,NA,300,NA,NA,NA,47.0,oviparous,NA,4.0,NA,NA,2.0,NA,NA,NA,NA,NA,Yes,Critically Endangered,Decreasing
Indotestudo forstenii,Testudines,Testudines,Testudinidae,Indotestudo,Schlegel & Müller,1844,No,Oriental,Terrestrial,Forest/Wetlands,NA,500,23.55,28.67,NA,Yes,No,NA,NA,Crepuscular,Black,Blotched,NA,round (or oval),non-fanged,32.1,5449.0,NA,NA,NA,NA,NA,44.9,oviparous,NA,4.0,1,2,2.0,NA,NA,NA,NA,NA,Yes,Critically Endangered,Decreasing
Indotestudo travancorica,Testudines,Testudines,Testudinidae,Indotestudo,Boulenger,1907,No,Oriental,Terrestrial,Grassland,450,850,25.26,124.32,NA,No,No,Omnivorous,"Invertebrates, plants",Diurnal,NA,NA,ACT,round (or oval),non-fanged,11.8,6467.0,NA,330,NA,NA,66,47.0,oviparous,NA,4.0,1,5,NA,NA,NA,NA,NA,NA,Yes,Vulnerable,Unspecified
Indotyphlops ahsanai,Squamata,Serpentes,Typhlopidae,Indotyphlops,Khan,1999,No,Saharo-Sindian,Fossorial,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,1.7,170,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Indotyphlops albiceps,Squamata,Serpentes,Typhlopidae,Indotyphlops,Boulenger,1898,No,Oriental,Fossorial,Forest,23,1232,NA,NA,NA,No,No,Carnivorous,Invertebrates ,NA,Red,NA,ACT,NA,non-fanged,NA,14.0,302,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Unknown
Indotyphlops braminus,Squamata,Serpentes,Typhlopidae,Indotyphlops,Daudin,1803,No,Oriental,Fossorial,Forest/Shrubland/Wetlands,0,2000,NA,NA,NA,No,No,Carnivorous,Invertebrates ,NA,Brown/Gray,NA,ACT,NA,non-fanged,NA,2.1,230,NA,NA,NA,NA,NA,oviparous,NA,4.0,2,8,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Increasing
Indotyphlops exiguus,Squamata,Serpentes,Typhlopidae,Indotyphlops,Jan,1864,No,Oriental,Fossorial,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,2.8,196,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Indotyphlops filiformis,Squamata,Serpentes,Typhlopidae,Indotyphlops,Duméril & Bibron,1844,No,Oriental,Fossorial,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,1.0,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Indotyphlops fletcheri,Squamata,Serpentes,Typhlopidae,Indotyphlops,Wall,1919,No,Oriental,Fossorial,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,1.0,149,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Indotyphlops jerdoni,Squamata,Serpentes,Typhlopidae,Indotyphlops,Boulenger,1890,No,Oriental,Fossorial,Forest,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,10.6,280,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Unknown
Indotyphlops laca,Squamata,Serpentes,Typhlopidae,Indotyphlops,"O'shea, Wallach, Hsiao & Kaiser",2023,No,Oriental,Fossorial,NA,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Indotyphlops lankaensis,Squamata,Serpentes,Typhlopidae,Indotyphlops,Taylor,1947,No,Oriental,Fossorial,Forest,0,10,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,0.6,130,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Critically Endangered,Unknown
Indotyphlops lazelli,Squamata,Serpentes,Typhlopidae,Indotyphlops,Wallach & Pauwels,2004,No,Oriental,Fossorial,Forest,100,200,NA,NA,NA,Yes,No,Carnivorous,Invertebrates ,NA,Gray/Yellow,NA,ACT,NA,non-fanged,NA,1.3,158,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Critically Endangered,Unknown
Indotyphlops leucomelas,Squamata,Serpentes,Typhlopidae,Indotyphlops,Boulenger,1890,No,Oriental,Fossorial,Forest,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,0.6,130,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Critically Endangered,Decreasing
Indotyphlops longissimus,Squamata,Serpentes,Typhlopidae,Indotyphlops,Duméril & Bibron,1844,No,NA,Fossorial,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Indotyphlops loveridgei,Squamata,Serpentes,Typhlopidae,Indotyphlops,Constable,1949,No,Saharo-Sindian,Fossorial,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,3.5,208,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Indotyphlops madgemintonae,Squamata,Serpentes,Typhlopidae,Indotyphlops,Khan,1999,"Indotyphlops madgemintonae madgemintonae (KHAN 1999)
Indotyphlops madgemintonae shermani (KHAN 1999)",Saharo-Sindian,Fossorial,Forest,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,3.1,200,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Data Deficient,Unknown
Indotyphlops malcolmi,Squamata,Serpentes,Typhlopidae,Indotyphlops,Taylor,1947,No,Oriental,Fossorial,Forest,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,0.3,107,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Endangered,Decreasing
Indotyphlops meszoelyi,Squamata,Serpentes,Typhlopidae,Indotyphlops,Wallach,1999,No,Oriental,Fossorial,Forest,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,2.0,179,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Indotyphlops pammeces,Squamata,Serpentes,Typhlopidae,Indotyphlops,Günther,1864,No,Oriental,Fossorial,Shrubland,3,1909,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,0.9,145,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Unknown
Indotyphlops porrectus,Squamata,Serpentes,Typhlopidae,Indotyphlops,Stoliczka,1871,No,Oriental,Fossorial,Forest,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,11.3,285,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Unknown
Indotyphlops schmutzi,Squamata,Serpentes,Typhlopidae,Indotyphlops,Auffenberg,1980,No,Oriental,Fossorial,Forest,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,0.8,140,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Unknown
Indotyphlops tenebrarum,Squamata,Serpentes,Typhlopidae,Indotyphlops,Taylor,1947,No,Oriental,Fossorial,NA,0,30,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,0.4,112,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Decreasing
Indotyphlops tenuicollis,Squamata,Serpentes,Typhlopidae,Indotyphlops,Peters,1864,No,Oriental,Fossorial,Forest,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,28.2,365,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Indotyphlops veddae,Squamata,Serpentes,Typhlopidae,Indotyphlops,Taylor,1947,No,Oriental,Fossorial,NA,0,30,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,0.2,910,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Decreasing
Indotyphlops violaceus,Squamata,Serpentes,Typhlopidae,Indotyphlops,Taylor,1947,No,Oriental,Fossorial,Forest,0,30,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,0.3,111,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Decreasing
Insulasaurus arborens,Squamata,Sauria,Scincidae,Insulasaurus,Taylor,1917,No,Oriental,Arboreal/Terrestrial,Forest,0,1600,NA,NA,19.62,Yes,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,5.8,NA,66.3,55,NA,23.8,NA,oviparous,NA,1.5,1,2,NA,NA,NA,22.9,NA,NA,Yes,Least Concern,Unknown
Insulasaurus traanorum,Squamata,Sauria,Scincidae,Insulasaurus,"Linkem, Diesmos & Brown",2010,No,Oriental,NA,Forest,1550,2070,NA,NA,21.45,Yes,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,2.8,NA,53.2,50.4,NA,NA,NA,oviparous,NA,1.0,1,1,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Insulasaurus victoria,Squamata,Sauria,Scincidae,Insulasaurus,Brown & Alcala,1980,No,Oriental,NA,Forest/Wetlands,637,1620,NA,NA,17.48,Yes,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,1.9,NA,47.2,45.3,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Near Threatened,Decreasing
Insulasaurus wrighti,Squamata,Sauria,Scincidae,Insulasaurus,Taylor,1925,No,Oriental,NA,NA,705,1653,NA,NA,21.90,Yes,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,6.8,NA,70,69,NA,NA,NA,oviparous,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Data Deficient,Unknown
Intellagama lesueurii,Squamata,Sauria,Agamidae,Intellagama,Gray,1831,"Intellagama lesueurii howittii (MCCOY 1884)
Intellagama lesueurii lesueurii (GRAY 1831)",Australo-Pacific,Semi-Aquatic,Forest,169,701,17.54,4261.90,30.08,No,No,Omnivorous,"Omnivorous (e.g., Greer 1989, Langerwerf 2006, MantheyAnd Schuster 1996, juveniles more carnivorous): invertebrates, vertbratesAnd plants (Langerwerf 2006)",Diurnal,NA,NA,ACT,NA,non-fanged,28.0,912.0,NA,289,209.7,NA,47,NA,oviparous,TSD,9.7,3,24,1.5,NA,NA,29.4,NA,NA,Yes,Least Concern,Stable
Inyoka swazicus,Squamata,Serpentes,Lamprophiidae,Inyoka,Schaefer,1970,No,Afrotropic,Saxicolous,Grassland/Rocky/Savanna,1400,1900,NA,NA,0.3,No,NA,NA,NA,NA,NA,NA,NA,slit (or vertical elliptical),non-fanged,NA,111.7,900,NA,NA,NA,NA,NA,oviparous,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Iphisa elegans,Squamata,Sauria,Gymnophthalmidae,Iphisa,Gray,1851,"Iphisa elegans elegans GRAY 1851
Iphisa elegans soinii DIXON 1974",Neotropic,Terrestrial,Forest,856,1074,NA,NA,14.96,No,No,Carnivorous,Arthropods,Diurnal,NA,NA,ACT,NA,non-fanged,NA,5.8,NA,63,53.1,NA,27,NA,oviparous,NA,2.0,1,2,NA,NA,NA,29.5,NA,NA,Yes,Least Concern,Stable
Iranolacerta brandtii,Squamata,Sauria,Lacertidae,Iranolacerta,De Filippi,1863,"Iranolacerta brandtii brandtii (DE FILIPPI 1863)
Iranolacerta brandtii esfahanica (NILSON, RASTEGAR-POUYANI, RASTEGAR-POUYANI & ANDRÉN 2003)",Saharo-Sindian,Terrestrial,Grassland/Rocky/Shrubland,1800,3200,NA,NA,15.00,No,No,Carnivorous,arthropods (Rezazadeh etAl. 2010),Diurnal,NA,NA,NA,NA,non-fanged,6.0,10.2,NA,76.4,62.7,NA,NA,NA,oviparous,GSD (ZW/ZZ),3.5,3,4,NA,NA,NA,NA,NA,NA,Yes,Data Deficient,Unknown
Iranolacerta zagrosica,Squamata,Sauria,Lacertidae,Iranolacerta,Rastegar-Pouyani & Nilson,1998,No,Saharo-Sindian,Saxicolous,Rocky,2200,3850,NA,NA,22.80,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,10.2,NA,76,57.8,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
